run,train_size,Loss,Accuracy
0,40,1.9420678615570068,0.6
0,80,1.8908382058143616,0.575
0,120,1.9499900937080383,0.5083333333333333
0,160,1.719801704088847,0.7875
0,200,1.9299007058143616,0.505
0,240,1.7435083091259003,0.7166666666666667
0,280,1.8679064750671386,0.6035714285714285
0,320,1.898650860786438,0.5625
0,360,1.950213352839152,0.5083333333333333
0,400,1.8285537958145142,0.6325
0,440,1.9515844753810339,0.509090909090909
0,480,1.7452538013458252,0.7229166666666667
0,520,1.952469574080573,0.5096153846153846
0,560,1.8843740357293024,0.55
0,600,1.8318949222564698,0.6183333333333333
0,640,1.9220883011817933,0.5390625
0,680,1.7977189909328113,0.6647058823529411
0,720,1.7679160435994465,0.6972222222222222
0,760,1.9003249605496724,0.5605263157894737
0,800,1.9274970293045044,0.53375
0,840,1.7745357070650374,0.6785714285714286
0,880,1.9321126426969255,0.5295454545454545
0,920,1.9465675274531047,0.5097826086956522
0,960,1.7200862566630046,0.746875
0,1000,1.9515805542469025,0.508
0,1040,1.643402015461641,0.8240384615384615
0,1080,1.6078760764178108,0.862037037037037
0,1120,1.6866362227333918,0.7848214285714286
0,1160,1.6961122061076916,0.7663793103448275
0,1200,1.7437499447872764,0.7191666666666666
0,1240,1.911411279439926,0.55
0,1280,1.9267754018306733,0.534375
0,1320,1.6802691845666795,0.7833333333333333
0,1360,1.7520567666400562,0.711764705882353
0,1400,1.919044554233551,0.5421428571428571
0,1440,1.9305802272713704,0.5291666666666667
0,1480,1.7329755276441574,0.7256756756756757
0,1520,1.7564089099566143,0.7046052631578947
0,1560,1.9171924591064453,0.5397435897435897
0,1600,1.6731811189651489,0.7875
0,1640,1.722984029696538,0.7390243902439024
0,1680,1.6806815332836575,0.7886904761904762
0,1720,1.9128704335954454,0.5482558139534883
0,1760,1.6082523550306047,0.8539772727272728
0,1800,1.6394643578036079,0.8205555555555556
0,1840,1.9060143766732052,0.5559782608695653
0,1880,1.9139286518096923,0.5446808510638298
0,1920,1.9262550314267477,0.5348958333333333
0,1960,1.9368565197913878,0.5239795918367347
0,2000,1.941619612276554,0.514
1,40,1.9984893798828125,0.475
1,80,1.8908380270004272,0.575
1,120,1.9667311906814575,0.5
1,160,1.7187154293060303,0.75625
1,200,1.9337343871593475,0.5
1,240,1.965057134628296,0.5
1,280,2.023650860786438,0.42857142857142855
1,320,1.737975811958313,0.74375
1,360,1.7843972444534302,0.6722222222222223
1,400,1.972311564854213,0.5025
